epoch,train_loss,train_mae,train_rmse,train_mape,train_time,val_loss,val_mae,val_rmse,val_mape,val_time
1,182.14264987993843,"tensor(182.1426, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(237.6488, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.9044, device='cuda:0', grad_fn=<MeanBackward0>)",18.11530113220215,175.30981951493484,"tensor(175.3098, device='cuda:0')","tensor(231.2569, device='cuda:0')","tensor(0.9429, device='cuda:0')",2.334143877029419
2,150.06967703903777,"tensor(150.0697, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(203.2251, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.0985, device='cuda:0', grad_fn=<MeanBackward0>)",18.206166744232178,153.1339549284715,"tensor(153.1340, device='cuda:0')","tensor(204.4786, device='cuda:0')","tensor(1.1889, device='cuda:0')",2.2971174716949463
3,136.0901134346105,"tensor(136.0901, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(183.1323, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.3841, device='cuda:0', grad_fn=<MeanBackward0>)",17.95803689956665,142.04106580294095,"tensor(142.0411, device='cuda:0')","tensor(188.1429, device='cuda:0')","tensor(1.4045, device='cuda:0')",2.396968364715576
4,103.29881967472124,"tensor(103.2988, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(158.2850, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.4862, device='cuda:0', grad_fn=<MeanBackward0>)",18.865309476852417,98.5388887478755,"tensor(98.5389, device='cuda:0')","tensor(154.9583, device='cuda:0')","tensor(0.3506, device='cuda:0')",2.607870101928711
5,79.00453719609901,"tensor(79.0045, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(131.8184, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.3107, device='cuda:0', grad_fn=<MeanBackward0>)",18.031609773635864,79.41257407115056,"tensor(79.4126, device='cuda:0')","tensor(131.6701, device='cuda:0')","tensor(0.2910, device='cuda:0')",2.422203302383423
6,64.60826895508585,"tensor(64.6083, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(112.3898, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.2651, device='cuda:0', grad_fn=<MeanBackward0>)",17.736237287521362,66.14458162967975,"tensor(66.1446, device='cuda:0')","tensor(113.5745, device='cuda:0')","tensor(0.2523, device='cuda:0')",2.573183536529541
7,54.36429612847823,"tensor(54.3643, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(97.1550, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.2362, device='cuda:0', grad_fn=<MeanBackward0>)",17.903841733932495,56.33900279265184,"tensor(56.3390, device='cuda:0')","tensor(99.0892, device='cuda:0')","tensor(0.2258, device='cuda:0')",2.5918188095092773
8,46.76775258704077,"tensor(46.7677, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(84.8943, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.2176, device='cuda:0', grad_fn=<MeanBackward0>)",18.021371126174927,48.74253423397358,"tensor(48.7425, device='cuda:0')","tensor(87.2356, device='cuda:0')","tensor(0.2086, device='cuda:0')",2.8108484745025635
9,41.11029890519154,"tensor(41.1103, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(75.1618, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.2028, device='cuda:0', grad_fn=<MeanBackward0>)",17.51460099220276,43.13135724801283,"tensor(43.1314, device='cuda:0')","tensor(77.7945, device='cuda:0')","tensor(0.1933, device='cuda:0')",2.7776780128479004
10,36.98604639270638,"tensor(36.9860, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(67.4799, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1933, device='cuda:0', grad_fn=<MeanBackward0>)",17.092281579971313,39.216234317192665,"tensor(39.2162, device='cuda:0')","tensor(70.5775, device='cuda:0')","tensor(0.1832, device='cuda:0')",2.4125454425811768
11,33.791807150538965,"tensor(33.7918, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(61.3524, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1857, device='cuda:0', grad_fn=<MeanBackward0>)",17.75584316253662,35.84999568645771,"tensor(35.8500, device='cuda:0')","tensor(64.4762, device='cuda:0')","tensor(0.1789, device='cuda:0')",2.6092584133148193
12,31.387056157558778,"tensor(31.3871, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(56.5307, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1799, device='cuda:0', grad_fn=<MeanBackward0>)",17.714804887771606,33.54213136893053,"tensor(33.5421, device='cuda:0')","tensor(59.9783, device='cuda:0')","tensor(0.1704, device='cuda:0')",2.3697922229766846
13,29.61878595472891,"tensor(29.6188, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(52.7857, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1752, device='cuda:0', grad_fn=<MeanBackward0>)",17.405279636383057,31.551363174731915,"tensor(31.5514, device='cuda:0')","tensor(56.0269, device='cuda:0')","tensor(0.1656, device='cuda:0')",2.428241729736328
14,28.291725062116793,"tensor(28.2917, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(49.7953, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1724, device='cuda:0', grad_fn=<MeanBackward0>)",17.60556387901306,30.360446783212517,"tensor(30.3604, device='cuda:0')","tensor(53.2200, device='cuda:0')","tensor(0.1619, device='cuda:0')",2.8183553218841553
15,27.150172233581543,"tensor(27.1502, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(47.3602, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1688, device='cuda:0', grad_fn=<MeanBackward0>)",17.68337845802307,28.926946053138145,"tensor(28.9269, device='cuda:0')","tensor(50.4080, device='cuda:0')","tensor(0.1671, device='cuda:0')",2.726431369781494
16,26.178605779816834,"tensor(26.1786, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(45.3080, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1656, device='cuda:0', grad_fn=<MeanBackward0>)",17.837456226348877,27.988533863654503,"tensor(27.9885, device='cuda:0')","tensor(48.4477, device='cuda:0')","tensor(0.1584, device='cuda:0')",2.6839044094085693
17,25.321061496493183,"tensor(25.3211, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(43.5568, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1627, device='cuda:0', grad_fn=<MeanBackward0>)",17.686495065689087,27.24241806910588,"tensor(27.2424, device='cuda:0')","tensor(46.5899, device='cuda:0')","tensor(0.1677, device='cuda:0')",2.613199472427368
18,24.618221234671676,"tensor(24.6182, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(42.0959, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1598, device='cuda:0', grad_fn=<MeanBackward0>)",17.92537021636963,26.2262481542734,"tensor(26.2262, device='cuda:0')","tensor(45.0055, device='cuda:0')","tensor(0.1502, device='cuda:0')",2.453518867492676
19,23.946819812436647,"tensor(23.9468, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(40.7609, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1569, device='cuda:0', grad_fn=<MeanBackward0>)",17.675543069839478,25.56422888315641,"tensor(25.5642, device='cuda:0')","tensor(43.6022, device='cuda:0')","tensor(0.1487, device='cuda:0')",2.642397880554199
20,24.437102221235445,"tensor(24.4371, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(40.7140, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1645, device='cuda:0', grad_fn=<MeanBackward0>)",23.059296369552612,25.389977601858284,"tensor(25.3900, device='cuda:0')","tensor(42.8820, device='cuda:0')","tensor(0.1475, device='cuda:0')",2.5532984733581543
21,23.017334938049316,"tensor(23.0173, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(38.7427, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1539, device='cuda:0', grad_fn=<MeanBackward0>)",23.81844472885132,24.62537638957684,"tensor(24.6254, device='cuda:0')","tensor(41.4858, device='cuda:0')","tensor(0.1457, device='cuda:0')",2.9298529624938965
