epoch,train_loss,train_mae,train_rmse,train_mape,train_time,val_loss,val_mae,val_rmse,val_mape,val_time
1,184.0223901483077,"tensor(184.0224, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(239.4900, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.8917, device='cuda:0', grad_fn=<MeanBackward0>)",21.60993266105652,178.8837056526771,"tensor(178.8837, device='cuda:0')","tensor(235.1159, device='cuda:0')","tensor(0.9195, device='cuda:0')",2.065103054046631
2,153.31551882586902,"tensor(153.3155, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(207.2335, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.0569, device='cuda:0', grad_fn=<MeanBackward0>)",21.904030084609985,156.0947170991164,"tensor(156.0947, device='cuda:0')","tensor(208.4292, device='cuda:0')","tensor(1.1431, device='cuda:0')",2.3237850666046143
3,138.0383288709423,"tensor(138.0383, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(186.3245, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.3325, device='cuda:0', grad_fn=<MeanBackward0>)",21.280810117721558,144.19730391869177,"tensor(144.1973, device='cuda:0')","tensor(191.3191, device='cuda:0')","tensor(1.3718, device='cuda:0')",2.213979482650757
4,131.09554855732978,"tensor(131.0955, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(174.0212, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.5711, device='cuda:0', grad_fn=<MeanBackward0>)",21.676162719726562,138.15913053659293,"tensor(138.1591, device='cuda:0')","tensor(180.8610, device='cuda:0')","tensor(1.5612, device='cuda:0')",2.4659435749053955
5,128.00120259538483,"tensor(128.0012, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(166.8836, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.7615, device='cuda:0', grad_fn=<MeanBackward0>)",21.96854281425476,135.1761812063364,"tensor(135.1762, device='cuda:0')","tensor(174.7801, device='cuda:0')","tensor(1.7015, device='cuda:0')",2.5266361236572266
6,126.81924520564985,"tensor(126.8192, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(163.1304, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.8892, device='cuda:0', grad_fn=<MeanBackward0>)",21.925923109054565,133.91067182100736,"tensor(133.9107, device='cuda:0')","tensor(171.6834, device='cuda:0')","tensor(1.7880, device='cuda:0')",2.345444679260254
7,126.4762556824503,"tensor(126.4763, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(161.3556, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(1.9673, device='cuda:0', grad_fn=<MeanBackward0>)",22.36161732673645,133.3634738922119,"tensor(133.3635, device='cuda:0')","tensor(170.1202, device='cuda:0')","tensor(1.8375, device='cuda:0')",2.375844717025757
8,126.34411992906016,"tensor(126.3441, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(160.3064, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0156, device='cuda:0', grad_fn=<MeanBackward0>)",22.370462894439697,133.1069696866549,"tensor(133.1070, device='cuda:0')","tensor(169.3008, device='cuda:0')","tensor(1.8656, device='cuda:0')",2.3018686771392822
9,126.36607708508456,"tensor(126.3661, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(160.0787, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0306, device='cuda:0', grad_fn=<MeanBackward0>)",22.296168327331543,133.06818727346567,"tensor(133.0682, device='cuda:0')","tensor(169.1709, device='cuda:0')","tensor(1.8702, device='cuda:0')",2.546194553375244
10,126.35270773006391,"tensor(126.3527, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(159.9686, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(2.0361, device='cuda:0', grad_fn=<MeanBackward0>)",21.991443634033203,132.98519765413724,"tensor(132.9852, device='cuda:0')","tensor(168.8845, device='cuda:0')","tensor(1.8805, device='cuda:0')",2.58817458152771
